Scenario - 
Logfile written - 11/21/2019 13:44:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

74	22	Picture	Z	6917454	80160	7	79994	7	80000	next	other	0
74	22	Response	1	7052125	214831	1
74	22	Response	2	7054045	216751	0
74	22	Response	1	7091804	254510	0
74	22	Response	2	7093324	256030	0
74	23	Picture	G	7186933	80160	7	79994	7	80000	next	other	0
74	23	Response	1	7298437	191665	0
74	23	Response	2	7299877	193104	0
74	23	Response	1	7335396	228624	1
74	23	Response	2	7336756	229983	0
74	24	Picture	A	7430581	80160	7	79994	7	80000	next	other	0
74	24	Response	1	7540750	190329	1
74	24	Response	2	7542429	192009	0
74	24	Response	1	7566669	216249	0
74	24	Response	2	7568188	217768	0
74	25	Picture	S	7661896	80160	7	79994	7	80000	next	other	0
74	25	Response	1	7791381	209646	1
74	25	Response	2	7793221	211486	0
74	25	Response	1	7824740	243005	1
74	25	Response	2	7826420	244684	0
74	26	Picture	T	7919876	80160	7	79994	7	80000	next	other	0
74	26	Response	1	8030974	191259	0
74	26	Response	2	8032414	192699	0
74	26	Response	1	8067613	227897	1
74	26	Response	2	8069132	229417	0
74	27	Picture	V	8162690	80160	7	79993	7	80000	next	other	0
74	27	Response	1	8282806	200276	0
74	27	Response	2	8285206	202676	0
74	27	Response	1	8326964	244434	0
74	27	Response	2	8328884	246355	0
74	28	Picture	F	8422169	80160	7	79994	7	80000	next	other	0
74	28	Response	1	8530158	188149	0
74	28	Response	2	8531678	189669	0
74	28	Response	1	8561837	219827	1
74	28	Response	2	8563677	221668	0
74	29	Picture	L	8657151	80160	7	79994	7	80000	next	other	0
74	29	Response	1	8775190	198199	1
74	29	Response	2	8776630	199639	0
74	29	Response	1	8807669	230678	0
74	29	Response	2	8809028	232038	0
74	30	Picture	K	8902799	80160	7	79994	7	80000	next	other	0
74	30	Response	1	9000382	177744	0
74	30	Response	2	9002222	179584	0
74	30	Response	1	9034781	212143	1
74	30	Response	2	9036221	213583	0
74	31	Picture	1	9129781	80160	7	79994	7	80000	next	other	0
74	31	Response	1	9251015	201394	0
74	31	Response	2	9252934	203314	0
74	31	Response	1	9287894	238274	0
74	31	Response	2	9289573	239953	0
74	32	Picture	U	9382927	80160	7	79994	7	80000	next	other	0
74	32	Response	1	9486607	183840	0
74	32	Response	2	9488207	185440	0
74	32	Response	1	9521165	218398	1
74	32	Response	2	9522846	220079	0
74	33	Picture	Q	9616576	80161	7	79994	7	80000	next	other	0
74	33	Response	1	9733079	196664	0
74	33	Response	2	9734518	198103	0
74	33	Response	1	9758918	222503	1
74	33	Response	2	9760678	224263	0
74	34	Picture	R	9854057	80160	7	79994	7	80000	next	other	0
74	34	Response	1	9966271	192374	0
74	34	Response	2	9967951	194054	0
74	34	Response	1	9997950	224053	0
74	34	Response	2	10000270	226373	0
74	35	Picture	E	10093205	80160	7	79994	7	80000	next	other	0
74	35	Response	1	10211303	198258	1
