Scenario - 
Logfile written - 11/09/2019 16:12:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

20	12	Response	1	6816547	221080	0
20	12	Response	2	6832386	236920	0
20	12	Response	1	6866546	271080	0
20	12	Response	2	6867507	272040	0
20	13	Picture	Start_fixation	6870541	0	3	80091	5	0	next	other	0
20	13	Picture	A	6950632	80091	2	80091	2	80000	next	other	0
20	13	Response	1	7058066	187526	0
20	13	Response	2	7065987	195446	0
20	13	Response	1	7081667	211126	0
20	13	Response	2	7082866	212325	0
20	14	Picture	Start_fixation	7085505	0	4	80091	7	0	next	other	0
20	14	Picture	E	7165597	80091	4	80091	4	80000	next	other	0
20	14	Response	1	7276626	191121	0
20	14	Response	2	7294307	208801	0
20	14	Response	1	7305586	220081	0
20	14	Response	2	7306706	221201	0
20	15	Picture	Start_fixation	7309462	0	3	80091	7	0	next	other	0
20	15	Picture	C	7389553	80091	4	80091	4	80000	next	other	0
20	15	Response	1	7493907	184445	0
20	15	Response	2	7504226	194765	0
20	15	Response	1	7518546	209085	0
20	15	Response	2	7519746	210285	0
20	16	Picture	Start_fixation	7522428	0	4	80091	7	0	next	other	0
20	16	Picture	B	7602519	80091	4	80091	4	80000	next	other	0
20	16	Response	1	7709666	187238	0
20	16	Response	2	7718627	196199	0
20	16	Response	1	7733907	211479	0
20	16	Response	2	7735026	212598	0
20	17	Picture	Start_fixation	7737892	0	4	80091	6	0	next	other	0
20	17	Picture	F	7817984	80091	3	80091	3	80000	next	other	0
20	17	Response	1	7928946	191054	0
20	17	Response	2	7948306	210414	0
20	17	Response	1	7969826	231934	0
20	17	Response	2	7976546	238654	0
20	17	Response	1	7990706	252814	0
20	17	Response	2	7992386	254494	0
20	18	Picture	Start_fixation	7994651	0	3	80091	6	0	next	other	0
20	18	Picture	D	8074742	80091	4	80091	4	80000	next	other	0
20	18	Response	1	8206546	211896	0
20	18	Response	2	8217106	222455	0
20	18	Response	1	8232146	237495	0
20	18	Response	2	8233266	238615	0
20	19	Quit		10055469	1820877	NA


{
   "app": "Presentation Version 20.1 Build 12.04.17",
   "device": "Dell Inc. Latitude E5570",
   "experiment": "{C0439482-3854-4D07-8C8F-65BF0844279E}",
   "os": "Windows 10 64 bit",
   "package": "",
   "parameters": {
      "configuration": "Default configuration"
   },
   "scenario": "main.sce",
   "subject": "20",
   "timestamp": "2019/11/09 14:55:45 GMT"
}
